m,c,error
1.53,16.61,14.794049
1.53,16.62,14.790557
1.53,16.63,14.787071
1.53,16.64,14.783591
1.53,16.65,14.780116
1.53,16.66,14.776648
1.53,16.67,14.773185
1.53,16.68,14.769729
1.53,16.69,14.766278
1.53,16.7,14.762834
1.53,16.71,14.759395
1.53,16.72,14.755963
1.53,16.73,14.752536
1.53,16.74,14.749115
1.53,16.75,14.745701
1.52,16.76,14.74208
1.52,16.77,14.73833
1.52,16.78,14.734585
1.52,16.79,14.730847
1.52,16.8,14.727114
1.52,16.81,14.723387
1.52,16.82,14.719666
1.52,16.83,14.715951
1.52,16.84,14.712241
1.52,16.85,14.708538
1.52,16.86,14.70484
1.52,16.87,14.701148
1.52,16.88,14.697462
1.52,16.89,14.693782
1.52,16.9,14.690108
1.52,16.91,14.68644
1.52,16.92,14.682778
1.52,16.93,14.679121
1.52,16.94,14.67547
1.52,16.95,14.671826
1.52,16.96,14.668187
1.52,16.97,14.664554
1.52,16.98,14.660927
1.52,16.99,14.657306
1.52,17,14.653691
1.52,17.01,14.650082
1.52,17.02,14.646479
1.52,17.03,14.642882
1.52,17.04,14.63929
1.52,17.05,14.635705
1.52,17.06,14.632126
1.52,17.07,14.628552
1.52,17.08,14.624985
1.52,17.09,14.621423
1.52,17.1,14.617868
1.52,17.11,14.614318
1.52,17.12,14.610775
1.52,17.13,14.607237
1.52,17.14,14.603706
1.52,17.15,14.60018
1.52,17.16,14.59666
1.52,17.17,14.593147
1.52,17.18,14.589639
1.52,17.19,14.586138
1.52,17.2,14.582642
1.52,17.21,14.579153
1.52,17.22,14.575669
1.52,17.23,14.572192
1.52,17.24,14.56872
1.52,17.25,14.565255
1.52,17.26,14.561795
1.52,17.27,14.558342
1.52,17.28,14.554895
1.52,17.29,14.551454
1.52,17.3,14.548019
1.52,17.31,14.544589
1.52,17.32,14.541166
1.52,17.33,14.53775
1.52,17.34,14.534339
1.52,17.35,14.530934
1.52,17.36,14.527535
1.52,17.37,14.524143
1.52,17.38,14.520756
1.52,17.39,14.517376
1.52,17.4,14.514001
1.52,17.41,14.510633
1.52,17.42,14.507271
1.51,17.43,14.503841
1.51,17.44,14.500138
1.51,17.45,14.49644
1.51,17.46,14.492749
1.51,17.47,14.489064
1.51,17.48,14.485385
1.51,17.49,14.481711
1.51,17.5,14.478044
1.51,17.51,14.474382
1.51,17.52,14.470727
1.51,17.53,14.467077
1.51,17.54,14.463434
1.51,17.55,14.459796
1.51,17.56,14.456165
1.51,17.57,14.45254
1.51,17.58,14.44892
1.51,17.59,14.445307
1.51,17.6,14.441699
1.51,17.61,14.438098
1.51,17.62,14.434503
1.51,17.63,14.430913
1.51,17.64,14.42733
1.51,17.65,14.423753
1.51,17.66,14.420182
1.51,17.67,14.416616
1.51,17.68,14.413057
1.51,17.69,14.409504
1.51,17.7,14.405957
1.51,17.71,14.402416
1.51,17.72,14.398882
1.51,17.73,14.395353
1.51,17.74,14.39183
1.51,17.75,14.388314
1.51,17.76,14.384803
1.51,17.77,14.381299
1.51,17.78,14.377801
1.51,17.79,14.374308
1.51,17.8,14.370822
1.51,17.81,14.367342
1.51,17.82,14.363869
1.51,17.83,14.360401
1.51,17.84,14.356939
1.51,17.85,14.353484
1.51,17.86,14.350035
1.51,17.87,14.346591
1.51,17.88,14.343154
1.51,17.89,14.339724
1.51,17.9,14.336299
1.51,17.91,14.33288
1.51,17.92,14.329468
1.51,17.93,14.326062
1.51,17.94,14.322662
1.51,17.95,14.319268
1.51,17.96,14.31588
1.51,17.97,14.312499
1.51,17.98,14.309123
1.51,17.99,14.305754
1.51,18,14.302391
1.51,18.01,14.299034
1.51,18.02,14.295684
1.51,18.03,14.29234
1.51,18.04,14.289002
1.51,18.05,14.28567
1.51,18.06,14.282344
1.51,18.07,14.279025
1.51,18.08,14.275711
1.51,18.09,14.272405
1.51,18.1,14.269104
1.5,18.11,14.265518
1.5,18.12,14.261871
1.5,18.13,14.258229
1.5,18.14,14.254594
1.5,18.15,14.250965
1.5,18.16,14.247342
1.5,18.17,14.243725
1.5,18.18,14.240114
1.5,18.19,14.236509
1.5,18.2,14.23291
1.5,18.21,14.229317
1.5,18.22,14.225731
1.5,18.23,14.222151
1.5,18.24,14.218576
1.5,18.25,14.215008
1.5,18.26,14.211446
1.5,18.27,14.207891
1.5,18.28,14.204341
1.5,18.29,14.200797
1.5,18.3,14.19726
1.5,18.31,14.193729
1.5,18.32,14.190204
1.5,18.33,14.186685
1.5,18.34,14.183172
1.5,18.35,14.179666
1.5,18.36,14.176166
1.5,18.37,14.172672
1.5,18.38,14.169184
1.5,18.39,14.165702
1.5,18.4,14.162227
1.5,18.41,14.158757
1.5,18.42,14.155294
1.5,18.43,14.151837
1.5,18.44,14.148387
1.5,18.45,14.144942
1.5,18.46,14.141504
1.5,18.47,14.138072
1.5,18.48,14.134647
1.5,18.49,14.131227
1.5,18.5,14.127814
1.5,18.51,14.124407
1.5,18.52,14.121006
1.5,18.53,14.117612
1.5,18.54,14.114224
1.5,18.55,14.110842
1.5,18.56,14.107466
1.5,18.57,14.104097
1.5,18.58,14.100734
1.5,18.59,14.097377
1.5,18.6,14.094027
1.5,18.61,14.090683
1.5,18.62,14.087345
1.5,18.63,14.084013
1.5,18.64,14.080688
1.5,18.65,14.077369
1.5,18.66,14.074057
1.5,18.67,14.07075
1.5,18.68,14.067451
1.5,18.69,14.064157
1.5,18.7,14.06087
1.5,18.71,14.057589
1.5,18.72,14.054314
1.5,18.73,14.051046
1.5,18.74,14.047784
1.5,18.75,14.044529
1.5,18.76,14.04128
1.5,18.77,14.038037
1.49,18.78,14.034651
1.49,18.79,14.031055
1.49,18.8,14.027466
1.49,18.81,14.023884
1.49,18.82,14.020307
1.49,18.83,14.016737
1.49,18.84,14.013173
1.49,18.85,14.009615
1.49,18.86,14.006064
1.49,18.87,14.002518
1.49,18.88,13.998979
1.49,18.89,13.995446
1.49,18.9,13.99192
1.49,18.91,13.988399
1.49,18.92,13.984885
1.49,18.93,13.981378
1.49,18.94,13.977876
1.49,18.95,13.974381
1.49,18.96,13.970892
1.49,18.97,13.967409
1.49,18.98,13.963933
1.49,18.99,13.960463
1.49,19,13.956999
1.49,19.01,13.953542
1.49,19.02,13.95009
1.49,19.03,13.946646
1.49,19.04,13.943207
1.49,19.05,13.939775
1.49,19.06,13.936349
1.49,19.07,13.93293
1.49,19.08,13.929516
1.49,19.09,13.926109
1.49,19.1,13.922709
1.49,19.11,13.919315
1.49,19.12,13.915927
1.49,19.13,13.912546
1.49,19.14,13.909171
1.49,19.15,13.905802
1.49,19.16,13.90244
1.49,19.17,13.899084
1.49,19.18,13.895734
1.49,19.19,13.892391
1.49,19.2,13.889054
1.49,19.21,13.885724
1.49,19.22,13.8824
1.49,19.23,13.879082
1.49,19.24,13.875771
1.49,19.25,13.872467
1.49,19.26,13.869168
1.49,19.27,13.865876
1.49,19.28,13.862591
1.49,19.29,13.859312
1.49,19.3,13.85604
1.49,19.31,13.852773
1.49,19.32,13.849514
1.49,19.33,13.846261
1.49,19.34,13.843014
1.49,19.35,13.839774
1.49,19.36,13.83654
1.49,19.37,13.833312
1.49,19.38,13.830092
1.49,19.39,13.826877
1.49,19.4,13.823669
1.49,19.41,13.820468
1.49,19.42,13.817273
1.49,19.43,13.814085
1.49,19.44,13.810903
1.48,19.45,13.807723
1.48,19.46,13.804183
1.48,19.47,13.800649
1.48,19.48,13.797122
1.48,19.49,13.793601
1.48,19.5,13.790086
1.48,19.51,13.786578
1.48,19.52,13.783076
1.48,19.53,13.779581
1.48,19.54,13.776092
1.48,19.55,13.772609
1.48,19.56,13.769132
1.48,19.57,13.765662
